id,year,sex_label,sex,marital_status,marital_satisfaction,ideal_number_of_children,extramarital_affair_label,extramarital_affair,health_label,health,happiness_label,happiness,perfectlyPredictableHappiness
2,2002,Male,1,Married,2,NA,No,-1,Good,3,NA,NA,NA
3,2002,Female,-1,Separated,NA,NA,Yes,1,Good,3,Fairly happy,5,5.412520191157483
8,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Completely happy,7,5.41252019116616
9,2002,Male,1,Divorced,NA,NA,Yes,1,Very good,4,NA,NA,NA
10,2002,Female,-1,Never married,NA,NA,NA,NA,Good,3,Fairly happy,5,5.412520191166162
11,2002,Male,1,Married,NA,NA,Yes,1,Very good,4,Very happy,6,5.653279112859485
19,2002,Male,1,Divorced,NA,NA,No,-1,Good,3,NA,NA,NA
20,2002,Male,1,Never married,NA,NA,NA,NA,Very good,4,Fairly happy,5,5.653279112859485
24,2002,Female,-1,Married,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
30,2002,Female,-1,Never married,NA,NA,NA,NA,Excellent,5,NA,NA,NA
31,2002,Female,-1,Divorced,NA,NA,No,-1,Excellent,5,Completely happy,7,5.894038034552808
32,2002,Male,1,Married,3,2,No,-1,Very good,4,NA,NA,NA
42,2002,Female,-1,Separated,NA,NA,NA,NA,Excellent,5,NA,NA,NA
43,2002,Female,-1,Divorced,NA,3,No,-1,Very good,4,NA,NA,NA
44,2002,Female,-1,Divorced,NA,NA,NA,NA,Excellent,5,NA,NA,NA
45,2002,Female,-1,Married,NA,NA,Yes,1,Good,3,Fairly happy,5,5.412520191166162
49,2002,Female,-1,Divorced,NA,NA,No,-1,Good,3,Very happy,6,5.412520191166161
53,2002,Male,1,Divorced,NA,NA,Yes,1,Fair,2,NA,NA,NA
57,2002,Female,-1,Widowed,NA,NA,No,-1,NA,NA,NA,NA,NA
59,2002,Female,-1,Widowed,NA,4,No,-1,NA,NA,NA,NA,NA
61,2002,Male,1,Married,NA,NA,No,-1,Very good,4,Fairly happy,5,5.653279112859485
63,2002,Female,-1,Widowed,NA,3,NA,NA,Good,3,NA,NA,NA
69,2002,Male,1,Widowed,NA,NA,Yes,1,Good,3,Neither happy nor unhappy,4,5.412520191166162
70,2002,Female,-1,Widowed,NA,NA,No,-1,Fair,2,Fairly happy,5,5.171761269472838
71,2002,Female,-1,Widowed,NA,2,Yes,1,NA,NA,NA,NA,NA
74,2002,Male,1,Married,NA,NA,No,-1,Good,3,Fairly happy,5,5.412520191166162
